,post_id,topic
360,360,"1,2"
361,361,"1,4"
362,362,1
363,363,"3,4"
364,364,"1,4"
365,365,"1,2"
366,366,3
367,367,"1,2"
368,368,"1,4"
369,369,
370,370,"1,2,3"
371,371,2
372,372,"1,3,4"
373,373,2
374,374,"3,4"
375,375,3
376,376,1
377,377,"1,4"
378,378,1
379,379,
380,380,3
381,381,
382,382,3
383,383,"1,3"
384,384,"1,4"
385,385,3
386,386,
387,387,"1,2"
388,388,1
389,389,"1,3,4"
390,390,3
391,391,1
392,392,"1,2"
393,393,
394,394,"1,2"
395,395,"1,2"
396,396,1
397,397,"3,4"
398,398,"1,4"
399,399,"1,2,3"
400,400,1
401,401,"1,2,3"
402,402,
403,403,"1,3,4"
404,404,3
405,405,"1,2,4"
406,406,
407,407,1
408,408,1
409,409,
410,410,"1,2,4"
411,411,"2,3"
412,412,"1,2"
413,413,3
414,414,2
415,415,
416,416,4
417,417,3
418,418,1
419,419,"1,2"
420,420,3
421,421,
422,422,"1,4"
423,423,"1,3"
424,424,1
425,425,
426,426,"1,4"
427,427,"1,2"
428,428,
429,429,"1,2,4"
430,430,"1,2"
431,431,
432,432,"1,2,3"
433,433,"2,3"
434,434,
435,435,1
436,436,3
437,437,2
438,438,
439,439,
440,440,"1,3,4"
441,441,2
442,442,"2,3,4"
443,443,1
444,444,"1,2,3"
445,445,"1,3,4"
446,446,
447,447,3
448,448,
449,449,3
450,450,1
451,451,
452,452,"1,2"
453,453,"1,2,4"
454,454,1
455,455,"1,4"
456,456,
457,457,"1,4"
458,458,3
459,459,1
460,460,"1,2"
461,461,
462,462,"1,2,3"
463,463,
464,464,
465,465,3
466,466,
467,467,4
468,468,1
469,469,2
470,470,1
471,471,4
472,472,"1,3"
473,473,4
474,474,3
475,475,4
476,476,"1,2,3,4"
477,477,1
478,478,
479,479,"2,3"
480,480,1
481,481,2
482,482,
483,483,
484,484,"1,2"
485,485,"1,2,4"
486,486,"3,4"
487,487,"1,3"
488,488,1
489,489,
490,490,"1,2,3"
491,491,"1,4"
492,492,"2,3,4"
493,493,3
494,494,"2,3"
495,495,"1,2,3"
496,496,
497,497,
498,498,"1,3"
499,499,
500,500,"1,2,3"
501,501,"1,2,3"
502,502,1
503,503,
504,504,3
505,505,"1,4"
506,506,"1,2"
507,507,"1,2,3"
508,508,
509,509,"1,2"
510,510,1
511,511,"1,2,3"
512,512,1
513,513,
514,514,4
515,515,"1,4"
516,516,3
517,517,"1,2,4"
518,518,"1,3,4"
519,519,4
520,520,"1,4"
521,521,2
522,522,"1,2"
523,523,
524,524,"1,2,3,4"
525,525,"1,2,3"
526,526,
527,527,"2,3,4"
528,528,"1,3"
529,529,1
530,530,"2,4"
531,531,"1,2"
532,532,3
533,533,"1,3,4"
534,534,2
535,535,
536,536,"1,2"
537,537,"2,4"
538,538,
539,539,"1,2"
540,540,"1,3,4"
541,541,1
542,542,3
543,543,"2,4"
544,544,1
545,545,"1,2"
546,546,
547,547,"2,4"
548,548,2
549,549,"1,2,3"
550,550,1
551,551,1
552,552,
553,553,1
554,554,
555,555,"1,2"
556,556,1
557,557,2
558,558,"1,3"
559,559,1
560,560,"1,3,4"
561,561,"2,4"
562,562,"1,4"
563,563,
564,564,"1,3"
565,565,"1,2"
566,566,"1,3"
567,567,"2,4"
568,568,"1,2,3"
569,569,3
570,570,"2,3,4"
571,571,
572,572,
573,573,1
574,574,"1,2,4"
575,575,"1,3"
576,576,"1,3"
577,577,"1,3,4"
578,578,"1,3"
579,579,4
580,580,
581,581,"1,2"
582,582,
583,583,
584,584,2
585,585,1
586,586,
587,587,"1,3"
588,588,4
589,589,"1,2"
590,590,"1,2,4"
591,591,2
592,592,"1,2,3,4"
593,593,"1,2"
594,594,"1,3"
595,595,"1,2"
596,596,"1,2,4"
597,597,3
598,598,
599,599,"1,2,4"
600,600,
601,601,"1,2,3"
602,602,"1,3,4"
603,603,1
604,604,"1,2,3"
605,605,"1,3"
606,606,2
607,607,1
608,608,
609,609,"1,3"
610,610,
611,611,"1,3,4"
612,612,"1,2,3"
613,613,1
614,614,"1,3,4"
615,615,1
616,616,
617,617,"1,2"
618,618,"1,4"
619,619,1
620,620,"1,2"
621,621,
622,622,"1,2"
623,623,"1,2,3,4"
624,624,1
625,625,
626,626,"1,4"
627,627,"1,3,4"
628,628,1
629,629,"1,3"
630,630,"1,4"
631,631,2
632,632,"2,3,4"
633,633,
634,634,1
635,635,3
636,636,1
637,637,
638,638,1
639,639,"1,2"
640,640,3
641,641,"1,2"
642,642,"1,2,3"
643,643,"3,4"
644,644,
645,645,"2,3"
646,646,"1,2"
647,647,3
648,648,"1,2,3"
649,649,4
650,650,1
651,651,"2,3,4"
652,652,"1,2,4"
653,653,"2,3"
654,654,"1,2,3"
655,655,"2,3,4"
656,656,
657,657,1
658,658,
659,659,"1,3"
660,660,1
661,661,4
662,662,"1,3"
663,663,"1,3"
664,664,1
665,665,1
666,666,1
667,667,"1,3,4"
668,668,2
669,669,"1,4"
670,670,3
671,671,
672,672,
673,673,"1,2,3,4"
674,674,1
675,675,
676,676,4
677,677,"1,2,4"
678,678,2
679,679,"1,3"
680,680,2
681,681,2
682,682,3
683,683,1
684,684,
685,685,"1,2,3,4"
686,686,2
687,687,"1,3,4"
688,688,
689,689,1
690,690,
691,691,
692,692,"1,2,4"
693,693,"1,2"
694,694,"1,3,4"
695,695,"1,2"
696,696,"1,2,3,4"
697,697,"1,2,4"
698,698,"1,2,3,4"
699,699,2
700,700,3
701,701,"1,2,4"
702,702,"2,4"
703,703,"1,3,4"
704,704,"1,4"
705,705,3
706,706,"2,3,4"
707,707,
708,708,"1,2,4"
709,709,
710,710,3
711,711,"1,2,3,4"
712,712,"1,3,4"
713,713,1
714,714,1
715,715,"1,4"
716,716,"1,3"
717,717,4
718,718,"2,3,4"
719,719,
720,720,"1,2"
721,721,
722,722,
723,723,"1,3,4"
724,724,2
725,725,"1,3,4"
726,726,
727,727,
728,728,"1,2,3,4"
729,729,1
730,730,
731,731,"1,4"
732,732,1
733,733,2
734,734,"1,3"
735,735,1
736,736,
737,737,"1,2"
738,738,1
739,739,"1,4"
740,740,"1,4"
741,741,
742,742,"1,3"
743,743,2
744,744,3
745,745,1
746,746,"1,2,3,4"
747,747,
748,748,"1,2,4"
749,749,"1,2,4"
750,750,"1,2"
751,751,
752,752,"1,3"
753,753,
754,754,
755,755,1
756,756,"1,2,4"
757,757,"2,4"
758,758,"1,2,3"
759,759,"2,3"
760,760,
761,761,"1,2,3"
762,762,"1,4"
763,763,4
764,764,2
765,765,
766,766,1
767,767,"1,3"
768,768,"1,2,3,4"
769,769,3
770,770,"1,3,4"
771,771,"1,2,3,4"
772,772,3
773,773,"1,3"
774,774,1
775,775,2
776,776,"1,4"
777,777,1
778,778,
779,779,
780,780,"1,4"
781,781,"1,2,4"
782,782,
783,783,"1,2,4"
784,784,3
785,785,1
786,786,3
787,787,"1,2"
788,788,"1,4"
789,789,
790,790,"1,2"
791,791,"1,2,3,4"
792,792,"1,4"
793,793,
794,794,2
795,795,"2,4"
796,796,"3,4"
797,797,"2,3"
798,798,"2,3"
799,799,
800,800,"1,3"
801,801,"1,3"
802,802,"1,2"
803,803,
804,804,"1,4"
805,805,
806,806,"1,2,3"
807,807,"1,2,4"
808,808,"1,3"
809,809,"1,3"
810,810,3
811,811,
812,812,
813,813,"1,2,3"
814,814,
815,815,1
816,816,
817,817,"1,3"
818,818,"2,3,4"
819,819,3
820,820,"1,3,4"
821,821,"1,2,3"
822,822,"1,2,3"
823,823,"1,2,3,4"
824,824,"1,2"
825,825,"2,3,4"
826,826,3
827,827,"2,3"
828,828,"1,2,3,4"
829,829,"1,4"
830,830,"3,4"
831,831,"1,3,4"
832,832,"1,4"
833,833,"1,3"
834,834,
835,835,1
836,836,
837,837,"1,3"
838,838,"1,4"
839,839,3
840,840,"1,3,4"
841,841,"1,2,4"
842,842,"1,3"
843,843,1
844,844,"1,2,3"
845,845,
846,846,3
847,847,"1,2,3"
848,848,2
849,849,4
850,850,"1,3"
851,851,"1,2,3,4"
852,852,4
853,853,1
854,854,4
855,855,
856,856,"1,2,3"
857,857,"1,2"
858,858,3
859,859,3
860,860,"1,3,4"
861,861,1
862,862,"1,4"
863,863,"1,2"
864,864,"2,4"
865,865,3
866,866,"1,3"
867,867,1
868,868,"1,3"
869,869,"1,2,4"
870,870,"1,4"
871,871,
872,872,
873,873,"1,2,3,4"
874,874,2
875,875,"1,3,4"
876,876,"1,2"
877,877,
878,878,
879,879,"1,2,3,4"
880,880,1
881,881,"1,3,4"
882,882,1
883,883,
884,884,"1,2,3,4"
885,885,
886,886,"1,2"
887,887,4
888,888,1
889,889,1
890,890,"2,3,4"
891,891,"2,3"
892,892,3
893,893,4
894,894,"1,4"
895,895,
896,896,3
897,897,
898,898,3
899,899,1
900,900,"1,4"
901,901,2
902,902,"1,3,4"
903,903,"1,2,3,4"
904,904,
905,905,"2,4"
906,906,2
907,907,"1,2,4"
908,908,1
909,909,1
910,910,1
911,911,4
912,912,4
913,913,"1,2,4"
914,914,"1,2"
915,915,1
916,916,4
917,917,
918,918,2
919,919,"3,4"
920,920,
921,921,"2,3,4"
922,922,2
923,923,
924,924,
925,925,
926,926,"1,3"
927,927,2
928,928,"1,3"
929,929,"2,4"
930,930,3
931,931,"1,3"
932,932,"1,3"
933,933,
934,934,"1,4"
935,935,"1,4"
936,936,"1,4"
937,937,4
938,938,4
939,939,
940,940,"1,2,3,4"
941,941,"1,2,4"
942,942,3
943,943,
944,944,
945,945,"1,3"
946,946,"1,4"
947,947,
948,948,"1,2,3,4"
949,949,1
950,950,1
951,951,"1,2,3"
952,952,"1,2"
953,953,"1,3"
954,954,"1,4"
955,955,
956,956,"1,3,4"
957,957,"2,3,4"
958,958,
959,959,"1,2,4"
960,960,1
961,961,"1,2"
962,962,
963,963,
964,964,3
965,965,
966,966,"1,2,3"
967,967,"1,3"
968,968,"1,2,4"
969,969,
970,970,"1,2,3"
971,971,1
972,972,1
973,973,"1,2"
974,974,"1,3"
975,975,"1,2,3"
976,976,"2,3"
977,977,"2,3"
978,978,
979,979,1
980,980,"1,2"
981,981,
982,982,"2,4"
983,983,1
984,984,
985,985,1
986,986,3
987,987,
988,988,
989,989,4
990,990,"1,2,3,4"
991,991,1
992,992,2
993,993,"1,4"
994,994,"2,4"
995,995,1
996,996,2
997,997,
998,998,2
999,999,1
